8This file contains all bean cultivars used by Phenology MMS. the format is
      as follows:

*** 
<Variety name>
GDD,<StoE>,<EtoCotyledonaryLvs>,<VCto1stTrifoliateLf>,<V1to2ndTrifoliateLf>,<V2to3rdTrifoliateLf>,<V3to4thTrifoliateLf>,<V4toBloom>,<R1toMidFullFlower>,<R2toEarlyPodSet>,<R3toMidPodSet>,<R4toEarlySeedFill>,<R5toMidSeedFill>,<R6toM>,<R7toHR>
GDDstress,<StoE>,<EtoCotyledonaryLvs>,<VCto1stTrifoliateLf>,<V1to2ndTrifoliateLf>,<V2to3rdTrifoliateLf>,<V3to4thTrifoliateLf>,<V4toBloom>,<R1toMidFullFlower>,<R2toEarlyPodSet>,<R3toMidPodSet>,<R4toEarlySeedFill>,<R5toMidSeedFill>,<R6toM>,<R7toHR>
LVS,<StoE>,<EtoCotyledonaryLvs>,<VCto1stTrifoliateLf>,<V1to2ndTrifoliateLf>,<V2to3rdTrifoliateLf>,<V3to4thTrifoliateLf>,<V4toBloom>,<R1toMidFullFlower>,<R2toEarlyPodSet>,<R3toMidPodSet>,<R4toEarlySeedFill>,<R5toMidSeedFill>,<R6toM>,<R7toHR>
LVSstress,<StoE>,<EtoCotyledonaryLvs>,<VCto1stTrifoliateLf>,<V1to2ndTrifoliateLf>,<V2to3rdTrifoliateLf>,<V3to4thTrifoliateLf>,<V4toBloom>,<R1toMidFullFlower>,<R2toEarlyPodSet>,<R3toMidPodSet>,<R4toEarlySeedFill>,<R5toMidSeedFill>,<R6toM>,<R7toHR>
THREE ***  THE DATA BEGINS BELOW THIS LINE!!!


The data will be read after the line that contains 3 asterisks (***), which separates
each variety.

The line following the 3 asterisks line gives the variety name.

The next four lines give either the unstressed growing degree-days (first line), stressed
growing degree-days (second line), unstressed number of leaves (third line), or stressed
number of leaves (fourth line) for each of the intervals.

Each variety is separated by three asterisks.


***
Generic
GDD,       30,  20,  15,  25,  40,  30, 270, 75,  50, 75,  115,  80,  190, 60
GDDstress, 50,  25,  30,  50,  50,  85, 200, 105,  55, 135,  90,  75,  110, 140
LVS,       1.3, 4.0, 4.0, 4.0, 3.3, 3.7, 3.7, 2.0, 1.2, 5.8, 3.2, 2.7, 3.2, 3.2
LVSstress, 1.3, 4.0, 4.0, 4.0, 3.7, 3.3, 3.3, 1.7, 0.8, 5.5, 2.8, 2.3, 2.8, 2.8
***                                                                            
OLD Generic
GDD,       40, 120,  120, 120, 100, 110, 110,  60,  35, 175,  95,  80,  95 , 135 
