This file contains all winter wheat cultivars used by Phenology MMS. The format is
      as follows:

*** 
<Variety name>
GDD,<StoE>,<EtoFirstT>,<JantoSR>,<SRtoDR>,<DRtoTS>,<TStoJ>,<JtoFLC>,<FLCtoH>,<HtoAS>,<AStoM>,<MtoHR>
GDDstress,<StoE>,<EtoFirstT>,<JantoSR>,<SRtoDR>,<DRtoTS>,<TStoJ>,<JtoFLC>,<FLCtoH>,<HtoAS>,<AStoM>,<MtoHR>
LVS,<StoE>,<EtoFirstT>,<JantoSR>,<SRtoDR>,<DRtoTS>,<TStoJ>,<JtoFLC>,<FLCtoH>,<HtoAS>,<AStoM>,<MtoHR>
LVSstress,<StoE>,<EtoFirstT>,<JantoSR>,<SRtoDR>,<DRtoTS>,<TStoJ>,<JtoFLC>,<FLCtoH>,<HtoAS>,<AStoM>,<MtoHR>
THREE ***  THE DATA BEGINS BELOW THIS LINE!!!


The data will be read after the line that contains 3 asterisks (***), which separates
each variety.

The line following the 3 asterisks line gives the variety name.

The next four lines give either the unstressed growing degree-days (first line), stressed
growing degree-days (second line), unstressed number of leaves (third line), or stressed
number of leaves (fourth line) for each of the intervals.

Each variety is separated by three asterisks.  

Type: HRW = Hard Red Winter; HWW = Hard White Winter
Maturity: EM = Early (1,2,3); MM = Medium (4,5,6); LM = Late (7,8,9)
Height: S = Short (1,2,3); M = Medium (4,5,6); T = Tall (7,8,9)     


***
Generic
GDD,       100, 200, 180, 125, 150, 30,  160, 145, 145, 735, 200
GDDstress, 150, 200, 180, 125, 145, 40,  118, 107, 131, 650, 125
LVS,       1.0, 1.9, 1.7, 1.2, 1.4, 0.3, 1.5, 1.4, 1.4, 7.0, 1.9
LVSstress, 1.5, 1.9, 1.7, 1.2, 1.4, 0.4, 1.1, 1.0, 1.2, 6.2, 1.2
***
Early Maturity
GDD,       100, 200, 180, 125, 150, 30,  140, 124, 145, 735, 200
GDDstress, 150, 200, 180, 125, 145, 40,   98,  86, 131, 650, 125
LVS,       1.0, 1.9, 1.7, 1.2, 1.4, 0.3, 1.3, 1.2, 1.4, 7.0, 1.9
LVSstress, 1.5, 1.9, 1.7, 1.2, 1.4, 0.4, 0.9, 0.8, 1.2, 6.2, 1.2
***
Medium Maturity
GDD,       100, 200, 180, 125, 150, 30,  163, 145, 145, 735, 200
GDDstress, 150, 200, 180, 125, 145, 40,  123, 109, 131, 650, 125
LVS,       1.0, 1.9, 1.7, 1.2, 1.4, 0.3, 1.6, 1.4, 1.4, 7.0, 1.9
LVSstress, 1.5, 1.9, 1.7, 1.2, 1.4, 0.4, 1.2, 1.0, 1.2, 6.2, 1.2
***
Late Maturity
GDD,       100, 200, 180, 125, 150, 30,  174, 154, 145, 735, 200
GDDstress, 150, 200, 180, 125, 145, 40,  137, 121, 131, 650, 125
LVS,       1.0, 1.9, 1.7, 1.2, 1.4, 0.3, 1.7, 1.5, 1.4, 7.0, 1.9
LVSstress, 1.5, 1.9, 1.7, 1.2, 1.4, 0.4, 1.3, 1.2, 1.2, 6.2, 1.2
***
Above (HRW,MM,M)
GDD,       100, 200, 180, 125, 150, 30,  146, 130, 137, 743, 200
GDDstress, 150, 200, 180, 125, 145, 40,  104,  92, 125, 633, 125
LVS,       1.0, 1.9, 1.7, 1.2, 1.4, 0.3, 1.4, 1.2, 1.3, 7.1, 1.9
LVSstress, 1.5, 1.9, 1.7, 1.2, 1.4, 0.4, 1.0, 0.9, 1.2, 6.0, 1.2
***
Ankor (HRW,MM,M)
GDD,       100, 200, 180, 125, 150, 30,  177, 157, 132, 721, 200
GDDstress, 150, 200, 180, 125, 145, 40,  129, 115, 132, 635, 125
LVS,       1.0, 1.9, 1.7, 1.2, 1.4, 0.3, 1.7, 1.5, 1.3, 6.9, 1.9
LVSstress, 1.5, 1.9, 1.7, 1.2, 1.4, 0.4, 1.2, 1.1, 1.3, 6.0, 1.2
***
Arlin (HRW,EM,S)
GDD,       100, 200, 180, 125, 150, 30,  123, 109, 157, 783, 200
GDDstress, 150, 200, 180, 125, 145, 40,   76,  68, 157, 668, 125
LVS,       1.0, 1.9, 1.7, 1.2, 1.4, 0.3, 1.2, 1.0, 1.5, 7.5, 1.9
LVSstress, 1.5, 1.9, 1.7, 1.2, 1.4, 0.4, 0.7, 0.6, 1.5, 6.4, 1.2
***
Avalanche (HWW,MM,M)
GDD,       100, 200, 180, 125, 150, 30,  162, 144, 151, 700, 200
GDDstress, 150, 200, 180, 125, 145, 40,  129, 115, 107, 662, 125
LVS,       1.0, 1.9, 1.7, 1.2, 1.4, 0.3, 1.5, 1.4, 1.4, 6.7, 1.9
LVSstress, 1.5, 1.9, 1.7, 1.2, 1.4, 0.4, 1.2, 1.1, 1.0, 6.3, 1.2
***
Baca (HRW,MM,T)
GDD,       100, 200, 180, 125, 150, 30,  157, 139, 136, 745, 200
