This file contains all Proso millet cultivars used by Phenology MMS. The format is
      as follows:

*** 
<Variety name>
GDD,<StoE>,<EtoFirstT>,<EtoSR>,<SRtoDR>,<DRtoESI>,<ESItoJ>,<JtoFLC>,<FLCtoH>,<HtoAS>,<AStoM>,<MtoHR>
GDDstress,<StoE>,<EtoFirstT>,<EtoSR>,<SRtoDR>,<DRtoESI>,<ESItoJ>,<JtoFLC>,<FLCtoH>,<HtoAS>,<AStoM>,<MtoHR>
LVS,<StoE>,<EtoFirstT>,<EtoSR>,<SRtoDR>,<DRtoESI>,<ESItoJ>,<JtoFLC>,<FLCtoH>,<HtoAS>,<AStoM>,<MtoHR>
LVSstress,<StoE>,<EtoFirstT>,<EtoSR>,<SRtoDR>,<DRtoESI>,<ESItoJ>,<JtoFLC>,<FLCtoH>,<HtoAS>,<AStoM>,<MtoHR>
THREE ***  THE DATA BEGINS BELOW THIS LINE!!!


The data will be read after the line that contains 3 astericks (***), which separates
each variety.

The line following the 3 asterisks line gives the variety name.

The next four lines give either the unstressed growing degree-days (first line), stressed
growing degree-days (second line), unstressed number of leaves (third line), or stressed
number of leaves (fourth line) for each of the intervals.

Each variety is separated by three asterisks.


***
Generic
GDD,       100, 170, 120, 100, 120,  95, 200, 308, 180, 800, 200
GDDstress, 150, 170, 120, 100, 120,  95, 200, 280, 150, 640, 125
LVS,       1.0, 1.6, 1.1, 1.0, 1.1, 0.9, 1.9, 2.9, 1.7, 7.6, 1.9
LVSstress, 1.4, 1.6, 1.1, 1.0, 1.1, 0.9, 1.9, 2.7, 1.4, 6.1, 1.2
***
Early Maturity
GDD,       100, 200, 108,  90, 108,  86, 180, 277, 162, 720, 180 
GDDstress, 150, 160, 108,  90, 108,  86, 180, 252, 135, 576, 113 
LVS,       1.0, 1.9, 1.0, 0.9, 1.0, 0.8, 1.7, 2.6, 1.5, 6.9, 1.7
LVSstress, 1.4, 1.5, 1.0, 0.9, 1.0, 0.8, 1.7, 2.4, 1.3, 5.5, 1.1
***
Medium Maturity
GDD,       100, 170, 120, 100, 120,  95, 200, 308, 180, 800, 200
GDDstress, 150, 170, 120, 100, 120,  95, 200, 280, 150, 640, 125
LVS,       1.0, 1.6, 1.1, 1.0, 1.1, 0.9, 1.9, 2.9, 1.7, 7.6, 1.9
LVSstress, 1.4, 1.6, 1.1, 1.0, 1.1, 0.9, 1.9, 2.7, 1.4, 6.1, 1.2
***
Late Maturity
GDD,       100, 200, 132, 110, 132, 105, 220, 339, 198, 880, 220 
GDDstress, 150, 160, 132, 110, 132, 105, 220, 308, 165, 704, 138 
LVS,       1.0, 1.9, 1.3, 1.0, 1.3, 1.0, 2.1, 3.2, 1.9, 8.4, 2.1
LVSstress, 1.4, 1.5, 1.3, 1.0, 1.3, 1.0, 2.1, 2.9, 1.6, 6.7, 1.3
